A_x,A_y,A_z,G_x,G_y,G_z,State,A_vec,G_vec
0.148193359,-0.923583984,0.104003906,36.03363037,15.08331299,-2.655029297,0,0.941161761,39.15326332
0.148193359,-0.923583984,0.104003906,36.03363037,15.08331299,-2.655029297,0,0.941161761,39.15326332
0.148193359,-0.923583984,0.104003906,36.03363037,15.08331299,-2.655029297,0,0.941161761,39.15326332
0.279541016,-0.94921875,0.215576172,-12.95471191,20.80535889,-5.432128906,0,1.012735158,25.10369582
0.279541016,-0.94921875,0.215576172,-12.95471191,20.80535889,-5.432128906,0,1.012735158,25.10369582
0.279541016,-0.94921875,0.215576172,-12.95471191,20.80535889,-5.432128906,0,1.012735158,25.10369582
0.279541016,-0.94921875,0.215576172,-12.95471191,20.80535889,-5.432128906,0,1.012735158,25.10369582
0.279541016,-0.94921875,0.215576172,-12.95471191,20.80535889,-5.432128906,0,1.012735158,25.10369582
0.185546875,-1.044677734,0.052001953,-34.14154053,24.28436279,12.44354248,0,1.062301,43.70602722
0.185546875,-1.044677734,0.052001953,-34.14154053,24.28436279,12.44354248,0,1.062301,43.70602722
0.185546875,-1.044677734,0.052001953,-34.14154053,24.28436279,12.44354248,0,1.062301,43.70602722
0.185546875,-1.044677734,0.052001953,-34.14154053,24.28436279,12.44354248,0,1.062301,43.70602722
0.384277344,-0.965332031,0.038574219,-25.33721924,16.00646973,43.58673096,0,1.039722548,52.89598158
0.384277344,-0.965332031,0.038574219,-25.33721924,16.00646973,43.58673096,0,1.039722548,52.89598158
0.384277344,-0.965332031,0.038574219,-25.33721924,16.00646973,43.58673096,0,1.039722548,52.89598158
0.384277344,-0.965332031,0.038574219,-25.33721924,16.00646973,43.58673096,0,1.039722548,52.89598158
0.259521484,-1.279541016,0.131347656,-7.354736328,5.401611328,-14.39666748,0,1.31218475,17.04504579
0.259521484,-1.279541016,0.131347656,-7.354736328,5.401611328,-14.39666748,0,1.31218475,17.04504579
0.259521484,-1.279541016,0.131347656,-7.354736328,5.401611328,-14.39666748,0,1.31218475,17.04504579
0.259521484,-1.279541016,0.131347656,-7.354736328,5.401611328,-14.39666748,0,1.31218475,17.04504579
0.138183594,-1.008544922,0.112792969,-3.288269043,-0.625610352,-3.807067871,0,1.024197158,5.069306401
0.138183594,-1.008544922,0.112792969,-3.288269043,-0.625610352,-3.807067871,0,1.024197158,5.069306401
0.138183594,-1.008544922,0.112792969,-3.288269043,-0.625610352,-3.807067871,0,1.024197158,5.069306401
0.138183594,-1.008544922,0.112792969,-3.288269043,-0.625610352,-3.807067871,0,1.024197158,5.069306401
0.138183594,-1.008544922,0.112792969,-3.288269043,-0.625610352,-3.807067871,0,1.024197158,5.069306401
0.213378906,-0.995117188,0.092285156,-4.905700684,0.839233398,-3.448486328,0,1.021912582,6.054937642
0.213378906,-0.995117188,0.092285156,-4.905700684,0.839233398,-3.448486328,0,1.021912582,6.054937642
0.213378906,-0.995117188,0.092285156,-4.905700684,0.839233398,-3.448486328,0,1.021912582,6.054937642
0.213378906,-0.995117188,0.092285156,-4.905700684,0.839233398,-3.448486328,0,1.021912582,6.054937642
0.240234375,-1.013671875,0.152587891,-7.850646973,-2.662658691,-0.633239746,0,1.052865751,8.314048459
0.240234375,-1.013671875,0.152587891,-7.850646973,-2.662658691,-0.633239746,0,1.052865751,8.314048459
0.240234375,-1.013671875,0.152587891,-7.850646973,-2.662658691,-0.633239746,0,1.052865751,8.314048459
